"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 15 16:04:32 CST 2023","Wed Mar 15 16:04:32 CST 2023","0","TestCase.login","test_wechat_login","TestWechatLogin","","","test_pwd_is_empty[data0]",""
"passed","Wed Mar 15 16:04:32 CST 2023","Wed Mar 15 16:04:32 CST 2023","1","TestCase.login","test_wechat_login","TestWechatLogin","","","test_pwd_is_empty[data1]",""
